date,value
2020-01-01,11.92
2020-02-01,10.65
2020-03-01,9.66
2020-04-01,8.26
2020-05-01,7.21
2020-06-01,5.97
2020-07-01,7.53
2020-08-01,9.34
2020-09-01,10.8
2020-10-01,12.63
2020-11-01,14.09
2020-12-01,15.74
2021-01-01,16.62
2021-02-01,17.56
2021-03-01,17.73
2021-04-01,20.44
2021-05-01,23.45
2021-06-01,26.47
2021-07-01,33.1
2021-08-01,39.83
2021-09-01,47.9
2021-10-01,61.86
2021-11-01,80.13
2021-12-01,94.2
2022-01-01,88.72
2022-02-01,83.7
2022-03-01,124.04
2022-04-01,121.52
2022-05-01,113.53
2022-06-01,110.36
2022-07-01,173.46
2022-08-01,233.8
2022-09-01,175.33
2022-10-01,112.99
2022-11-01,110.52
2022-12-01,108.71
2023-01-01,83.1
2023-02-01,54.84
2023-03-01,46.98
2023-04-01,39.8
2023-05-01,31.94
2023-06-01,32.74
2023-07-01,34.4
2023-08-01,35.28
2023-09-01,41.08
2023-10-01,48.14
2023-11-01,43.04
2023-12-01,38.57
2024-01-01,32.29
2024-02-01,25.78
2024-03-01,28.54
2024-04-01,29.54
2024-05-01,31.9
2024-06-01,34.35
2024-07-01,35.5
2024-08-01,37.98
2024-09-01,39.59
2024-10-01,42.95
2024-11-01,45.48
2024-12-01,45.13
2025-01-01,48.21
2025-02-01,49.63
2025-03-01,45.02
2025-04-01,39.48
2025-05-01,34.11
2025-06-01,33.61
2025-07-01,33.79
2025-08-01,33.59
2025-09-01,33.96
2025-10-01,35.23
2025-11-01,35.37
2025-12-01,38.31
2026-01-01,40.24
2026-02-01,42.83
2026-03-01,44.57
2026-04-01,45.11
2026-05-01,45.79
